31,18750,      2,     59,    -45,   2911,   5203,  -8349,      0,     98,    227,    241,    247,  50839,  50016,  50675,      4,      0, -99989,      0,  87815,  93475,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
32,19375,     17,     43,    -47,   1095,   6706,  -8076,     -3,     75,    227,    241,    247,  50839,  50016,  50675,      4,      0, -99989,      0,  87815,  93475,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
33,20000,     12,     49,    -47,   -414,   7648,  -7530,      0,     59,    226,    241,    247,  50828,  50017,  50665,      4,      0, -99989,      0,  87790,  93473,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
34,20625,     13,     45,    -44,  -1604,   8089,  -6812,      5,     48,    226,    241,    247,  50828,  50017,  50665,      4,      0, -99989,      0,  87790,  93473,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
35,21250,    -10,     46,    -20,  -2987,   8251,  -5606,      0,     43,    226,    241,    247,  50828,  50017,  50665,      4,      0, -99989,      0,  87790,  93473,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
36,21875,    -46,     55,      7,  -4812,   8222,  -3746,      7,     34,    226,    241,    247,  50828,  50017,  50665,      4,      0, -99989,      0,  87790,  93473,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
37,22500,    -35,     55,     -3,  -6482,   8022,  -1866,      5,     38,    226,    241,    247,  50828,  50017,  50665,      4,      0, -99989,      0,  87790,  93473,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
38,23125,    -32,     56,     -6,  -7602,   7573,   -261,      6,     45,    226,    241,    247,  50828,  50017,  50665,      4,      0, -99989,      0,  87790,  93473,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
39,23750,    -35,     54,     -2,  -8144,   6908,    978,     11,     64,    226,    241,    247,  50828,  50017,  50665,      4,      0, -99989,      0,  87790,  93473,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
40,24375,    -28,     38,      5,  -8389,   5960,   2207,      9,     84,    226,    241,    247,  50828,  50017,  50665,      4,      0, -99989,      0,  87790,  93473,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
41,25000,    -38,      2,     51,  -8419,   4276,   3959,     14,    109,    226,    241,    247,  50828,  50017,  50665,      4,      0, -99989,      0,  87790,  93473,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
